관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11680-00002,신사근린공원,근린공원,,서울특별시 강남구 압구정동 422,37.526708,127.021458,6800.0,,,,,,,,02-3423-6245,2021-07-09
11680-00003,대청근린공원,근린공원,,서울특별시 강남구 일원동 621,37.49319912,127.0830019,14089.1,,,,,,,,02-3423-6245,2021-07-09
11680-00004,늘푸른근린공원,근린공원,,서울특별시 강남구 일원동 690,37.489885,127.077436,11410.3,,,,,,,,02-3423-6245,2021-07-09
11680-00005,개포서근린공원,근린공원,,서울특별시 강남구 개포동 180,37.488628,127.064142,11219.2,,,,,,,,02-3423-6245,2021-07-09
11680-00006,개포동근린공원,근린공원,,서울특별시 강남구 개포동 182-1,37.4897064102,127.0682905337,9705.6,,,,,,,,02-3423-6245,2021-07-09
11680-00007,대치근린공원,근린공원,,서울특별시 강남구 대치동 512,37.495123,127.061109,10408.9,,,,,,,,02-3423-6245,2021-07-09
11680-00008,늘벗근린공원,근린공원,,서울특별시 강남구 대치동 501,37.489623,127.048394,19812.3,,,,,,,,02-3423-6245,2021-07-09
11680-00009,독골근린공원,근린공원,,서울특별시 강남구 도곡동 461,37.484552,127.0468249,10022.9,,,,,,,,02-3423-6245,2021-07-09
11680-00010,포이근린공원,근린공원,,서울특별시 강남구 개포동 1239-21,37.479681,127.036037,16811.4,,,,,,,,02-3423-6245,2021-07-09
11680-00011,청룡근린공원,근린공원,,서울특별시 강남구 개포동 649-1,37.485594,127.045605,9367.0,,,,,,,,02-3423-6245,2021-07-09
11680-00012,배밭근린공원,근린공원,,서울특별시 강남구 개포동 181,37.488214877,127.0594681029,11627.2,,,,,,,,02-3423-6245,2021-07-09
11680-00013,학여울근린공원,근린공원,,서울특별시 강남구 개포동 183-1,37.4897064102,127.0682905337,12505.6,,,,,,,,02-3423-6245,2021-07-09
11680-00014,청수근린공원,근린공원,,서울특별시 강남구 청담동 134-13,37.523249,127.049676,17402.0,,,,,,,,02-3423-6245,2021-07-09
11680-00015,청담근린공원,근린공원,,서울특별시 강남구 청담동 66,37.520727,127.035334,59347.0,,,,,,,,02-3423-6245,2021-07-09
11680-00016,한티근린공원,근린공원,,서울특별시 강남구 대치동 212-1,37.494917,127.053606,19200.0,,,,,,,,02-3423-6245,2021-07-09
11680-00017,개포근린공원,근린공원,,서울특별시 강남구 개포동 139,37.4830336,127.063861,90063.9,,,,,,,,02-3423-6245,2021-07-09
11680-00018,달터근린공원,근린공원,,서울특별시 강남구 개포동 156,37.485434,127.0596369489,232078.2,,,,,,,,02-3423-6245,2021-07-09
11680-00019,대진근린공원,근린공원,,서울특별시 강남구 개포동 13-1,37.496049,127.0788531,13568.4,,,,,,,,02-3423-6245,2021-07-09
11680-00020,탄천근린공원,근린공원,,서울특별시 강남구 수서동 722,37.487436,127.1062898,10011.0,,,,,,,,02-3423-6245,2021-07-09
11680-00021,한솔근린공원,근린공원,,서울특별시 강남구 일원동 732,37.480936,127.069411,12878.4,,,,,,,,02-3423-6245,2021-07-09
11680-00022,학동근린공원,근린공원,,서울특별시 강남구 논현동 26,37.515548,127.0251861,29947.0,,,,,,,,02-3423-6245,2021-07-09
11680-00023,삼성은행나무근린공원,근린공원,,서울특별시 강남구 삼성동 14,37.516489,127.036994,1500.0,,,,,,,,02-3423-6245,2021-07-09
11680-00024,도곡근린공원,근린공원,,서울특별시 강남구 도곡동 산31-1,37.48963705,127.041861,254648.0,,,,,,,,02-3423-6245,2021-07-09
11680-00025,싸리고개근린공원,근린공원,,서울특별시 강남구 도곡동 550,37.489953,127.0363246,15072.5,,,,,,,,02-3423-6245,2021-07-09
11680-00026,갈매기근린공원,근린공원,,서울특별시 강남구 압구정동 480,37.531496,127.030123,7732.0,,,,,,,,02-3423-6245,2021-07-09
11680-00027,도성근린공원,근린공원,,서울특별시 강남구 역삼동 713-15,37.500748,127.044485,1988.8,,,,,,,,02-3423-6245,2021-07-09
11680-00028,송운근린공원,근린공원,,서울특별시 강남구 역삼동 755-9,37.499848,127.044636,1175.0,,,,,,,,02-3423-6245,2021-07-09
11680-00029,언주근린공원,근린공원,,서울특별시 강남구 역삼동 754-7,37.499059,127.043268,1110.8,,,,,,,,02-3423-6245,2021-07-09
11680-00030,영동근린공원,근린공원,,서울특별시 강남구 역삼동 755-7,37.49801996,127.046352,1293.6,,,,,,,,02-3423-6245,2021-07-09
11680-00001,도산근린공원,근린공원,,서울특별시 강남구 신사동 649-9,37.523911,127.0356032,29816.5,,,,,,,,02-3423-6245,2021-07-09
11680-00031,길섶근린공원,근린공원,,서울특별시 강남구 역삼동 757-1,37.498081,127.046708,1580.6,,,,,,,,02-3423-6245,2021-07-09
11680-00032,매봉근린공원,근린공원,,서울특별시 강남구 도곡동 527-7,37.492589,127.045762,6146.9,,,,,,,,02-3423-6245,2021-07-09
11680-00033,봉은근린공원,근린공원,,서울특별시 강남구 역삼동 754-4,37.498247,127.047136,1147.7,,,,,,,,02-3423-6245,2021-07-09
11680-00034,배꽃근린공원,근린공원,,서울특별시 강남구 삼성동 11-3,37.516663,127.040299,1592.9,,,,,,,,02-3423-6245,2021-07-09
11680-00035,반달근린공원,근린공원,,서울특별시 강남구 삼성동 7-4,37.51611453,127.040616,679.3,,,,,,,,02-3423-6245,2021-07-09
