"장소유형코드",대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
1,영등포구노인복지회관,서울특별시,영등포구,11560,서울특별시 영등포구 당산로 123,서울특별시 영등포구 당산동3가 385-1,37.52596361,126.8963695,30,서울특별시 영등포구,02-2670-3889,영등포경찰서,Y,3,6,2021-06-10
1,영등포공원,서울특별시,영등포구,11560,서울특별시 영등포구 신길로 275,서울특별시 영등포구 영등포동 582-3,37.51612663,126.9121286,30,서울특별시 영등포구,02-2670-3889,영등포경찰서,N,0,5,2021-06-10
1,메낙골공원,서울특별시,영등포구,11560,서울특별시 영등포구 신길1동 4934-4,서울특별시 영등포구 신길1동 4934-4,37.506849,126.915255,30,서울특별시 영등포구,02-2670-3889,영등포경찰서,N,0,6,2021-06-10
1,대림어린이공원,서울특별시,영등포구,11560,서울특별시 영등포구 대림로 106,서울특별시 영등포구 대림동 870,37.49133176,126.9030162,30,서울특별시 영등포구,02-2670-3889,영등포경찰서,N,0,13,2021-06-10
