"장소유형코드",대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
1,관악노인복지관,서울특별시,관악구,11620,서울특별시 관악구 봉천동 보라매로 35 관악노인종합복지관,서울특별시 관악구 봉천동 726-3,37.49304177,126.9263007,30,서울특별시 관악구청,02-879-6862,서울관악경찰서,N,0,6~25,2021-03-10
1,동명노인복지관,서울특별시,관악구,11620,서울특별시 관악구 봉천로23라길 15,서울특별시 관악구 봉천동 647-10,37.48844212,126.9372314,30,서울특별시 관악구청,02-879-6862,서울관악경찰서,Y,2,6,2021-03-10
1,덕진경로당,서울특별시,관악구,11620,서울특별시 관악구 봉천동 남부순환로234길 37 덕진경로당,서울특별시 관악구 봉천동 1621-23,37.4776955494,126.9567948586,30,서울특별시 관악구청,02-879-6862,서울관악경찰서,Y,1,6,2021-03-10
1,백설경로당,서울특별시,관악구,11620,서울특별시 관악구 봉천동 관악로6길 50 백설경로당,서울특별시 관악구 봉천동 1606-11,37.476237,126.9535123,30,서울특별시 관악구청,02-879-6862,서울관악경찰서,Y,1,6,2021-03-10
1,관악시니어클럽,서울특별시,관악구,11620,서울특별시 관악구 봉천동 남부순환로247다길 60 원당경로당,서울특별시 관악구 봉천동 148-145,37.4786268,126.964194,30,서울특별시 관악구청,02-879-6862,서울관악경찰서,Y,1,6,2021-03-10
1,관악구민종합체육센터,서울특별시,관악구,11620,서울특별시 관악구 봉천동 낙성대로3길 37 관악구민종합체육센터,서울특별시 관악구 봉천동 225,37.473014,126.9603062,30,서울특별시 관악구청,02-879-6862,서울관악경찰서,Y,1,10~30,2021-03-10
1,미성요양원,서울특별시,관악구,11620,서울특별시 관악구 신림동 난곡로63가길 42 예수교대한성결교회신광교회,서울특별시 관악구 신림동 1480-5,37.4791462,126.9142069,30,서울특별시 관악구청,02-879-6862,서울관악경찰서,Y,1,6~7,2021-03-10
1,관악산공원(광장),서울특별시,관악구,11620,서울특별시 관악구 신림동 신림로 23 관악산휴게소,서울특별시 관악구 신림동 210,37.46822758,126.9459607168,30,서울특별시 관악구청,02-879-6862,서울관악경찰서,Y,2,6~12,2021-03-10
